,Etruscan,Translations,POS,Is inferred,Is suffix,Abbreviation of,Suffix indexes,city name,place name,name,epithet,theo,cogn,prae,nomen,nom,acc,masc,fem,nas-part,nasa-part,u-part,θ-impv,θ-part,θas-part,as-part,act,pass,non-past,past,impv,jussive,necess,inanim,anim,indef,def,deictic particle,enclitic particle,enclitic conj,dem,adv,art,conj,post,pro,rel,subord,neg,num,1st gen,2nd gen,1st abl,2nd abl,loc,1st pert,2nd pert,1st pers,2nd pers,3rd pers,pl,gen,abl,pert,TAG
130,av,"((True, 'aule'),)",masc prae 1st gen,False,False,avles,,,,,,,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
131,avles,(),,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,
132,aveleσ,"((True, 'avile'),)",masc prae 1st gen,False,False,,,,,,,,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
133,aveles,"((True, 'avele'),)",masc prae 1st gen,False,False,,,,,,,,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
134,avenal,"((True, 'avenai'),)",fem nomen 2nd gen,False,True,,,,,,,,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
135,avenalc,"((True, 'avenai'),)",fem nomen 2nd gen,False,False,,"(29,)",,,,,,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
136,aveσ,"((True, 'aves'),)",masc nomen 1st gen,False,False,,,,,,,,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
137,[avi]le,"((True, 'avile'),)",masc prae nom acc,False,False,,,,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
138,avil[eσ],"((True, 'avile'),)",masc prae 1st gen,False,False,,,,,,,,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
139,avil[e],"((True, 'avile'),)",masc prae nom acc,False,False,,,,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
140,avle,"((True, 'aule'),)",masc prae nom acc,False,False,,,,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
141,aθ,"((True, 'arnth'),)",masc prae nom acc,False,False,arnθ,,,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
142,arnθ,(),,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,
143,aθ,"((True, 'arnth'),)",masc prae 2nd gen,False,False,arnθal,,,,,,,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
144,arnθal,(),,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,
145,aleθnas,"((True, 'alethnas'),)",masc nomen 1st gen,False,False,,,,,,,,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
146,.a.l.θ.r.na.s.,"((True, 'althrnas'),)",masc nomen 1st gen,False,False,,,,,,,,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
147,am[---],(),,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,
148,anaσnieσ,"((True, 'anasnie'),)",masc prae 1st gen,False,False,,,,,,,,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
149,[a]ncinie.š.,"((True, 'ancinies'),)",masc nomen 1st gen,False,False,,,,,,,,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
150,ane,"((True, 'ane'),)",masc prae nom acc,False,False,,,,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
151,aneσ,"((True, 'ane'),)",masc prae 1st gen,False,False,,,,,,,,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
152,anes,"((True, 'ane'),)",masc prae 1st gen,False,False,,,,,,,,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
153,anti{:}pater,"((True, 'antipater'),)",masc name nom acc,False,False,,,0,0,1,,,,,,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
154,apatrual,"((True, 'apatrui'),)",fem nomen 2nd gen,False,False,,,,,,,,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
155,apenas,"((True, 'apenas'),)",masc nomen 1st gen,False,False,,,,,,,,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
156,apnal,"((True, 'apnei'),)",fem nomen 2nd gen,False,False,,,,,,,,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
157,aprθn[al],"((True, 'aprthnei'),)",fem nomen 2nd gen,False,True,,,,,,,,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
158,aprθn[al]c,"((True, 'aprthnei'),)",fem nomen 2nd gen,False,False,,"(29,)",,,,,,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
159,apunas,"((True, 'apunas'),)",masc nomen 1st gen,False,False,,,,,,,,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
160,apunaς,"((True, 'apunas'),)",masc nomen 1st gen,False,False,,,,,,,,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
161,araz,"((True, 'araz'),)",masc prae nom acc,False,False,,,,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
162,araθiale,"((True, ''), (True, 'aranth'))",masc prae 2nd pert,False,False,,,,,,,,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,,,,,False,False,True,NOUN
163,aranθ,"((True, 'aranth'),)",masc prae nom acc,False,False,,,,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
164,aranθia,"((True, 'aranth'),)",masc prae 2nd gen,False,False,,,,,,,,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
165,arianaσ,"((True, 'ariana'),)",masc nomen 1st gen,False,False,,,,,,,,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
166,arnza,"((True, 'arnza'),)",masc prae nom acc,False,False,,,,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
167,arnθ,"((True, 'arnth'),)",masc prae nom acc,False,False,,,,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
168,arnθal,"((True, 'arnth'),)",masc prae 2nd gen,False,False,,,,,,,,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
169,arnθial,"((True, 'arnth'),)",masc prae 2nd gen,False,False,,,,,,,,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
170,arnθial,"((True, 'arnth'),)",masc prae 2nd gen,False,True,,,,,,,,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
171,arnθialum,"((True, 'arnth'),)",masc prae 2nd gen,False,False,,"(10,)",,,,,,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
172,arnt,"((True, 'arnt'),)",masc prae nom acc,False,False,,,,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
173,arntlei,"((True, 'arntlei'),)",fem nomen nom acc,False,False,,,,,,,,0,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
174,ateinei,"((True, 'ateinei'),)",fem nomen nom acc,False,False,,,,,,,,0,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
175,atelinas,"((True, 'atelina'),)",masc nomen 1st gen,False,False,,,,,,,,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
176,.a.telina.s.,"((True, 'atelina'),)",masc nomen 1st gen,False,False,,,,,,,,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
177,aties,"((True, 'aties'),)",masc nomen 1st gen,False,False,,,,,,,,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
178,au,"((True, 'aule'),)",masc prae nom acc,False,False,aule,,,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
179,au,"((True, 'aule'),)",masc prae 1st gen,False,False,auleσ,,,,,,,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
180,auvilesi,"((True, 'avile'),)",masc prae 1st pert,False,False,,,,,,,,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,,,,,False,False,True,NOUN
181,aule,"((True, 'aule'),)",masc prae nom acc,False,False,,,,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
182,auleσ,"((True, 'aule'),)",masc prae 1st gen,False,False,,,,,,,,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
183,auleσi,"((True, 'aule'),)",masc prae 1st pert,False,False,,,,,,,,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,,,,,False,False,True,NOUN
184,aules,"((True, 'aule'),)",masc prae 1st gen,False,False,,,,,,,,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
185,auleσ,"((True, 'aule'),)",masc prae 1st gen,False,True,,,,,,,,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
186,auleśa,"((True, 'aule'),)",masc prae 1st gen,False,False,,"(39,)",,,,,,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
187,auleσ,"((True, 'aule'),)",masc prae nom acc,False,True,,,,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
188,auleśla,"((True, 'aule'),)",masc prae nom acc,False,False,,"(7,)",,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
189,aχratinal,"((True, 'akhratinei'),)",fem nomen 2nd gen,False,True,,,,,,,,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
190,aχratinaliśa,"((True, 'akhratinei'),)",fem nomen 2nd gen,False,False,,"(0,)",,,,,,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
191,afuna,"((True, 'afuna'),)",masc nomen nom acc,False,False,,,,,,,,0,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
192,bercomsna,"((True, 'percumsna'),)",masc nomen nom acc,False,False,,,,,,,,0,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
193,cae,"((True, 'cae'),)",masc nomen nom acc,False,False,,,,,,,,0,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
194,caeσ,"((True, 'cae'),)",masc nomen 1st gen,False,False,,,,,,,,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
195,cavi,"((True, 'cavi'),)",masc prae nom acc,False,False,,,,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
196,cavis,"((True, 'cavis'),)",masc nomen 1st gen,False,False,,,,,,,,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
197,cai,"((True, 'cai'),)",masc nomen nom acc,False,False,,,,,,,,0,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
198,caiσ,"((True, 'cai'),)",masc nomen 1st gen,False,False,,,,,,,,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
199,calisnial,"((True, 'calisni'),)",fem nomen 2nd gen,False,True,,,,,,,,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
200,calisnia[l]c,"((True, 'calisni'),)",fem nomen 2nd gen,False,False,,"(29,)",,,,,,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
201,camnas,"((True, 'camnas'),)",masc nomen 1st gen,False,False,,,,,,,,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
202,canatnei,"((True, 'canatnei'),)",fem cogn nom acc,False,False,,,,,,,,1,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
203,[c]afates,"((True, 'cafates'),)",masc nomen 1st gen,False,False,,,,,,,,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
204,ceicnas,"((True, 'ceicnas'),)",masc nomen 1st gen,False,False,,,,,,,,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
205,ceisatrui,"((True, 'ceisatrui'),)",fem nomen nom acc,False,False,,,,,,,,0,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
206,ceisina,"((True, 'ceisina'),)",masc nomen nom acc,False,False,,,,,,,,0,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
207,ceisu[i],"((True, 'ceisui'),)",fem nomen nom acc,False,False,,,,,,,,0,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
208,cêlatina,"((True, 'celatina'),)",masc nomen nom acc,False,False,,,,,,,,0,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
209,cêlatinaσ,"((True, 'celatina'),)",masc nomen 1st gen,False,False,,,,,,,,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
210,cemnil,"((True, 'cemni'),)",fem nomen 2nd gen,False,False,,,,,,,,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
211,ceśunia,"((True, 'ceshunia'),)",fem cogn nom acc,False,False,,,,,,,,1,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
212,ceσtnal,"((True, 'cestnei'),)",fem nomen 2nd gen,False,False,,,,,,,,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
213,cicuσ,"((True, 'cicu'),)",masc cogn 1st gen,False,False,,,,,,,,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
214,clavtieθurasi,"((True, 'claudii family'),)",anim pl 1st pert,False,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,,,,1,False,False,True,NOUN
215,cleusinas,"((True, 'cleusinas'),)",masc nomen 1st gen,False,False,,,,,,,,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
216,clueśte,"((True, 'clueshte'),)",masc nomen nom acc,False,False,,,,,,,,0,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
217,cracial,"((True, 'craci'),)",fem nomen 2nd gen,False,False,,,,,,,,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
218,cr[ai]culi,"((True, 'craiculi'),)",masc nomen nom acc,False,False,,,,,,,,0,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
219,crepus,"((True, 'crepus'),)",masc nomen 1st gen,False,False,,,,,,,,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
220,crucrials,"((True, 'crucri'),)",fem nomen 2nd abl,False,False,,,,,,,,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,,,,,False,True,False,NOUN
221,cuclnial,"((True, 'cuclni'),)",fem nomen 2nd gen,False,False,,,,,,,,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
222,cuclnies,"((True, 'cuclnies'),)",masc nomen 1st gen,False,False,,,,,,,,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
223,cucrina,"((True, 'cucrina'),)",masc nomen nom acc,False,False,,,,,,,,0,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
224,cultces,"((True, 'cultces'),)",masc cogn 1st gen,False,False,,,,,,,,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
225,cumerunia,"((True, 'cumerunia'),)",fem cogn nom acc,False,False,,,,,,,,1,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
226,cupes,"((True, 'cupe'),)",masc prae 1st gen,False,False,,,,,,,,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
227,cupe.s.,"((True, 'cupe'),)",masc prae 1st gen,False,False,,,,,,,,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
228,curunas,"((True, 'curunas'),)",masc nomen 1st gen,False,False,,,,,,,,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
229,cuśu,"((True, 'cushu'),)",masc nomen nom acc,False,False,,,,,,,,0,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
230,cuśual,"((True, 'cushui'),)",fem nomen 2nd gen,False,False,,,,,,,,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
231,cuśuθuraσ,"((True, 'cushu family'),)",anim pl 1st gen,False,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,1,True,False,False,NOUN
232,cuśuθuroum,"((True, 'cushu family'),)",anim pl 1st gen,False,False,,"(10,)",,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,1,True,False,False,NOUN
233,cuśuσ,"((True, 'cushu'),)",masc nomen 1st gen,False,False,,,,,,,,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
234,ezpus,"((True, 'etspus'),)",masc nomen 1st gen,False,False,,,,,,,,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
235,einanal,"((True, 'einanei'),)",fem nomen 2nd gen,False,False,,,,,,,,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
236,eucle,"((True, 'eucle'),)",masc nomen nom acc,False,False,,,,,,,,0,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
237,v,"((True, 'vel'),)",masc prae nom acc,False,False,vel,,,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
238,vel,(),,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,
239,v,"((True, 'vel'),)",masc prae 1st gen,False,False,velus,,,,,,,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
240,velus,(),,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,
241,ve,"((True, 'vel'),)",masc prae 1st gen,False,False,veluσ,,,,,,,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
242,veluσ,(),,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,
243,vel,"((True, 'vel'),)",masc prae nom acc,False,False,,,,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
244,vêl,"((True, 'vêl'),)",masc prae nom acc,False,False,,,,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
245,vêlara,"((True, 'vêlara'),)",masc nomen nom acc,False,False,,,,,,,,0,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
246,veleθnalaς,"((True, 'velethnai'),)",fem nomen 2nd abl,False,False,,,,,,,,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,,,,,False,True,False,NOUN
247,[veleli]aσ,"((True, 'velelia'),)",fem prae 1st gen,False,False,,,,,,,,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
248,velelias,"((True, 'velelia'),)",fem prae 1st gen,False,False,,,,,,,,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
249,veleliiasi,"((True, 'veleliia'),)",fem prae 1st pert,False,False,,,,,,,,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,,,,,False,False,True,NOUN
