key,T,C,A,CIEP
1,,surna vipial,,3515
1,,surna ferinial,,3518
1,,surna pacsnial,,3520
1,,surnei(al),,3523
1,,ar(nthus) salvial,,3534
1,arnthaneilarthiasvi,,mr-arnthmrs-aneissonmrlarthia,3551
2,aiclan,,,3551
1,,fvloni(vs),,3552
1,,l(ar)th rafe ar(nthus),,3557
4,----iriachnaz,peiriachnaz,,3560
1,----------ti------,ruti(al) a(rn)th(us),,3564
1,,sauturini chvestnas,,3566
2,lachu,,,3567
3,mnial,,,3567
1,,etanei(al),mr-larismrs-etaneissonmrlariscusnas,3569
1,,larthi sauturini nufrz(e)n(as),,3573
2,,veti(al),mr-larismrs-vetismraflesmr-larissdaughters-husband,3574
1,,thania veti(al),,3575
1,,l(ar)th utavi(al) veti(alisa),,3576
1,,vipi(al),,3580
1,,au(lialisa),,3592
1,,larci(al) tusnu(s),,3594
1,,larce larci(al),,3595
1,,papni(al),,3601
1,,mutei(al),,3602
2,pesial,,,3604
1,fethi,,,3607
1,iartinia,,ms-primaartinia,3608
2,imidorvs,,mr-luciuscassiusarteimidorusmr-luciussfreedman,3609
1,,larthi senithna(s),,3612
2,a------t----aialplai----ia,,,3614
1,,p(upli)z(a) velti(al),,3616
1,capznas,capznas(a),,3628
2,,th(an)a pumpui(al) ar(nthus),mr-thanamrs-pumpuismrs-plautis-daughters-husbandmr-arnthpumpus,3628
1,,pumpuni(al),,3629
1,,precu vitial,,3650
1,ceititespl,,mrs-ceimr-tites,3653
1,salvisprechu,,,3656
1,,fermi cacei(e)s acsial,,3658
2B,----ctarnitha,,,3663
1,lathianeinia,,,3664
1,starnithi,,ms-starnithi,3665
2,,caia umpres,mr-thanacaiamr-umpresmr-petvies,3668
2,apunial,,,3669
2,puia,puia,,3676
2,masui,masui(al),,3677
2A,numsis,numsi(e)s,numsie,3679
1,,larthi vipi(al) aulni(alisa),mrs-larthimrs-vipismrs-aulnis-sonswife,3680
2,salvial,salvial(isasa),,3680
1,,vlesi(al) ar(nthus),,3687
1,,vlesi(al),,3689
1,,carcus(a),,3690
2,menznal,menzn(i)al,,3701
1,,se(th) tarchi(al),,3702
1,,larthi cacei(e)s,,3712
1,veili avelt,,mr-veilia,3716
2,saneiv,,mrs-veltsaneis,3716
1,,larthi meteli(alisa) veltsne(i)al,,3717
1,,cestni(e)s,,3724
1,,achu casnial,,3728
2,--------aconi,,,3733
2,minthinal,,,3738
1,,ecnat(nasa),,3739
1,s--------umiul,,mr-sethsetumiumr-lariss,3741
1,,thania cascel(i)i,,3744
1,,c(aii) l(iberta) pvmpva,,3747
1,,tlapu lautni(al) capznas,mr-tlaputhe-nameless-,3750
2,tarchisla,tarchi(e)s(a) l(autnith)a(sa),,3750
1,,thania harnvstia,,3751
1,arnthlarthvelimnas,,mr-arnthmr-larthmrvelimnas,3754
2,arznealfusiur,,childrenmrs-arzneischildren,3754
1,sethumi------,,mr-sethumie,3755
2,,etere,,3755
1,peipi,,ms-peipi,3756
1A,aulevelimnasthefrisa,,bmr-aulemr-velimnassonmr-thefries-daughters-husband,3758
1,larthvelimnasaules,,,3759
1A,velvelimnas,,mr-velmr-velimnas,3760
1,veiliavelimneiarnthial,,,3762
1,,caiai(alisa) larn(i)al tetal(ie)s(a),,3766
2,vitlial,,,3767
1,,vitli(alisa),,3768
1,,ceisi(al),,3777
1,,arnth ceisi(al),,3778
1,,larthi l(a)utni(al),,3779
2,,anei(e)s,,3780
1,larvipiupelsipetrnal,,,3784
1,,upelsi(al),,3785
1,,trazlui(al) upelsi(e)s,,3787
4,vetlneitrazlus,,,3788
3,puiavela,puia(l),wifes,3791
1,arnthpupus,,mr-arnthmr-pupus,3792
2,snutesnarn,snutes(a),mr-snutes-daughters-husband,3792
3,thial,,mrs-arnthis,3792
2,,snutes(a),mr-snutes-daughters-husband,3793
3,thial,,,3793
1,pumpusnute,,mr-pumpumr-snutes,3796
3,snute,snute(sa),,3797
2,snute,,,3798
2,alcla,,mrs-cuethnis,3818
2,arnthial,,,3826
1,larthacsis,,mr-larthmr-acsies,3828
2,larthial,larthial,,3828
1,,arnth,mr-arnthmr-acsiesdaughters-husbandmrthethures,3830
3,,larthi(alisa),,3832
2,arnthial,,mrs-arnthis-daughters-husband,3833
3,palpe,,mr-palpes,3833
1,,arnth veti(al),,3840
1,,marcnei(alisa),,3844
2,--etrunial,petrunial,,3854
1,,tites petruni(e)s,mr-aulemr-titepetrunies,3855
1A,arznail,,mrs-vetimrs-petrunismr-veliamrsaneinis-daughters-daughtershusbandmrs-spulinissonmrveiliassonmrs-clantisdaughters-daughters-daughtershusbandmrs-arznis-daughtersdaughters-daughters-daughtershusband,3858
1B,tusurthi,,,3858
1,,v(e)l(ia) ti(te) famfn(i)al,,3863
1,arnziuslaitheslatni,arnziu slaithes,,3865
2,slaithes,slaithes(a),,3867
2,athnu,,,3871
1,,arnti(al),,3886
1,th------veties,,,3891
1,,arza veti(al),,3893
1,,navesial,,3894
1,,petsn(i)al,,3899
1,,vezi(al),,3900
1,,se(th),mr-sethaflemr-larissmr-fastias-daughters-husbandmrs-fustneimrs-arznismr-aitus,3908
1,,fustn(i)al,,3909
1,veltitesmar,,mr-velmr-tite,3915
2,cnas,,,3915
2,ariodantes ariodantes in,,,3916
1,,larthi pitiui(alisa),mrs-larthimrs-caismrs-pitiuis-sonswife,3918
2,marcnas,marcnas,,3920
1,,velcznei(al),,3922
1A,,l(ibertvs),mr-caiussocconiusmr-caiussfreedman,3929
1B,olipor,olipor,mr-oluss-slaveboy,3929
1,,luchumni(al),,3932
1,,felvinati(al) upelsi(e)s,,3940
1,,larthi ancari(al) upelsi(e)s,,3942
1,,setri(al) ar(nthus),,3944
1,,ve(liasa),,3949
2,seires,,,3950
1,,atial,,3951
2,calisnal,calisn(i)al,,3956
2,ceisial,,,3958
1,,larthi puia tites,mrs-larthimrs-vipis-sonswifewifeof-mr-tite,3960
1,,vercnas(a),,3962
1,felvereal,,mr-aulemrs-semthnisfreedman,3965
1A,,semthni(alisa),mr-aulemrs-semthnisdaughters-husbandmr-aules,3966
1,,semtni(al),,3968
1,,anein{ }ei(al) farui(alisa),,3975
2,-------------vezial,vezial,,3978
1,,s(eth) elith(a),mr-sethelithamrs-vanisson,3983
2,,aruseri(alisa),,3985
1,,casni(al),,3989
1,,se(th) casni(al),,3991
1,,sethre casni(al),,3994
2,ripial,,mrs-ripis,3999
1A,,puiac,mr-aulemr-petrucasnies,4001
1,arcasni,,mr-arnthmrs-casnis,4006
1,,aclinei(al),,4007
1,claz,,mr-arnthmrs-casnislittle-sonmr-arnthauclinaslittle-son,4008
1,sethre,sethre,mr-sethre,4009
2,casni,casni(al),mrs-casnis,4009
3,aritha,aritha(s),,4009
2,tamnia,tamnia(s),,4011
1,,atnei(al),,4024
1,,lecusti,,4028
1A,,petruni(e)s,mr-thanamrs-sentinatisdaughters-husbandmrpetrunies,4034
1,,trila,mr-luciusanniustrilamrcaiussson,4036
1,,triile,,4037
1,,petrui,ms-petrui,4040
2,luesnas,,,4047
1,,nurziu(s),,4049
1,,rafe(s) vipiaz(a),,4051
2,,vi(pe) ma(rces),,4060
1,,felsci(al),,4061
1,,arnth patruni(al),mr-arnthmrs-patrunismr-lariss,4062
1,------a--u--i--e--,,mrs-larthimrs-tavulineissons-wife,4065
2,----------m--us,,mr-pumpus,4065
1,----nicios------,,,4070
1H,a nicios,,bmr-haustos,4070
1,arnthtantles,,mr-arnthmr-tantles,4072
1,larstiialisa------,,,4073
2,arnthtantli------,,mr-arnthmr-tantlies,4073
2,larstial,larstial,,4074
2,nial,,,4076
1,,cuspi(alisa),,4078
1,,vafruni(e)s,,4079
3,nufrznas(a),,,4080
2,celteza,c(v)el(suial),of-the-goddess-cvelsui,4082
3,nprenthn,,forthe-goodwill,4082
4,athauru,,praying-for,4082
5,sthanr,,,4082
2,maalnas,maalnas,,4083
1,ath----a--l--rutsni,a(rn)th atna v(e)l(us),,4084
2,rutsnisla,,,4086
1,larthachu,,mr-larthachu,4087
2,venetes,venetes,,4087
1,,pu(rthie)s la(utnitha),,4088
1,--elthurnal,velthurn(i)al,mrs-velthurnis,4090
2,,venz{}etaz,,4090
1,larthfatunilatni,,,4091
1,,vesi(al),,4094
1,,tites vesi(e)s arnthial,,4095
1,,se(th) ti(te) vesi(al) seftmn(i)al(isasa),,4098
1,,tites(a) vesi(al),,4100
2,svarnas,,mr-vipiesmr-varnas,4114
1A,--------estna,,mrs-fasti,4115
1B,--------------nalsec,,,4115
2,,afli(al),mr-larthiamrs-aflismrs-arznis-daughters-husbandmr-anainas,4118
1,,v(e)l(ia) veti(al),,4126
1,,veti(as),,4127
1,,vescn(i)al(isasa),,4128
1,,l(ar)th velcznei(al),,4131
1,,varnei(al) lethial,,4133
1,,th(an)a paniathi(al),mr-thanamrs-paniathismr-velchznas,4134
1,larthvelthurnala,,mr-larthvelthurnamr-lariss,4139
2,serturialclan,,,4139
1,,l(ar)th setri(al) velthurnas,,4140
1,,se(th) venete,,4143
1,,lethial,mr-larisvenetemr-larissmrs-lethis,4144
1,famfna,,,4148
1,,venete azlsn(i)al,,4151
1,,percumsn(i)al,,4164
1A,rauf,,,4167
1,,rezus(a),,4176
1,,th(an)a caspri(al) trisn(as),,4178
1,veltia,,,4184
1,thmiatvneicuesnas,,,4195
1,tisutith,,youin-the-tomb,4197
2,asles,asles,,4197
2,tinial,,mrs-artinis-daughters-husband,4200
1,,casuntinial,,4203
1,cafatial,,,4207
1,,amthni capznas,,4209
1,,se(th) ancari(al),,4213
1,,thannia,ms-thannia,4216
2,cacnis,cacni(e)s,,4218
1,,aneinei(alisa),,4224
1,,v(e)l(ia) razi(e)s,mr-veliaapicemr-razies,4232
1,auliai,,,4245
1,slebaris,slebaris,mr-slebaris,4252
1,,cavili(al) petruni(e)s,,4253
1,,cnares,,4262
2,thiai------,,,4268
1,,larthi caia(s) pumpuni(al),,4277
1,,caith(i)o c(aii),,4278
1,,l(ar)th calisnei(al) capevanes,,4283
1,----fcamars,f(astias),,4288
2,rafial,rafial,,4293
1,,velimnas,,4298
1,,fa(stia) cestnei(alisa),,4301
1,,clumnei(al) silaithes,,4305
2,sacrial,,,4307
2,apenial,,,4315
1,----nchvilveanifethius,,,4319
1,,v(e)l(ia) marcnas,,4323
1,sethraverun,sethra,mr-sethra,4336
2,purnisa,,,4354
2,parfnal,,,4355
1,--rnthpipiruf,,mr-arnthmrs-pipis,4356
1,,fuzetnei(al),mr-thanamrs-fuzetneismr-fethius,4373
2,thanapetrua,,larcna,4376
1,arnthivthv,,,4380
1,,atnei(e)s(a),,4382
1,,lethial,,4386
2,ath,a(rn)th(us),mr-arnths,4392
3,erinial,,,4392
1,larthian,larthian,mr-larthian,4401
2,larthina,larthina,,4401
1,,titeas c(la)n,,4402
2,larthia----sa,larthialisa,,4406
1,,patlni(al) vuisial(ial),,4407
1,arpetrunizetnal,,,4418
2,chpis,,,4421
1,,pianiathe calisna(s),,4424
1,lathipuclis,,,4429
1,csalisna,,,4434
1,lssatnala,,,4440
2,menenial,,mrs-menenis,4440
1,,sauturine ar(nthus),,4443
1,,sauturines,,4444
1,larthselva,,mr-larth,4446
2,slathnu,,,4446
1,senatia,,,4447
1,larthise,larthi,ms-larthi,4453
1,,vesi(al),mr-thanamrs-vesis,4455
1,,serturus,mr-arnthmr-serturusmrs-cacnis,4460
2,thafnas,thafnas,,4461
1,,tatnei(al) spurinas,,4465
1,,surti(al),mr-veiliamrs-surtis,4468
2,capznas,capznas,,4477
1,thaniia,thaniia,mr-thaniia,4478
3,nustiia,nustiia(s),,4478
1,,t(it)i(al),mr-thanamrs-titis,4481
1,arnthial,arnthial,,4484
2,,petruni(e)s,,4488
1,tlatia,,,4493
1,,larthi turpli(al),,4498
1,,turpli(al),mr-arnthmrs-turplismr-lariss,4499
1,,uthavi(e)s atinatia(sa),,4503
1,thauvia,,,4504
1,,ulthe fermial,,4508
1,,arnth pisice(s),,4515
1,thasnias,,,4519
1,se,se(th),,4536
01A,,rezus,eu notice in-the-councilmrtannamr-larisrezus,4538
01B,velthinas,velthinas,mr-velthinas,4538
02A,,velthinas,there-isan-agreement-ritualthefamilyof-mr-velthina,4538
02B,,atena,farm,4538
05A,ipa,,,4538
06,,cemulm lescul,aof-undeveloped-landand-alsoof-pens-of-animalsof-irrigationchannelsconsisting,4538
07B,,renethi,any-of-the-things-on-the-pastures,4538
09,,cenu,asonhere-and-therefruittreeorchard,4538
09A,velthinas arznal,,to-mr-aulemr-velthinasmrs-little-arthnis,4538
10B,,turune,the-borders,4538
11A,larthals afunes,,,4538
13A,,velthina,of-ancestorsthree-alsochambers-for-use-ofvelthina,4538
14A,,fintha municlet,spiritstakesin-the-sarcophaguses,4538
15,,penezs,amr-velthinasixhectaresgrantsto,4538
18,,satene,afodderof-hismr-velthinatensquare-paces,4538
20A,,tesne eca velthinathuras,of-wild-landseethe-velthinafamilys,4538
21B,,cecha,sacred-hymns,4538
22A,tesnsteisrasneschimthsp,,of-huts-thosein-the-etruscanwayalso-in-the-three,4538
24A,,utuse,of-anyhectaresthreehisploughlandownership,4538
2,,restias ca(n)l(an),amciemrs-titis,4539
3,,le(tnitha) aperuce,sonmr-restiasson,4539
2,penthuna,penthuna,mr-penthuna,4540
2,arnth,arnth(us),,4542
1,------lethicaithil------------ia,,mrs-lethimrs-caismrs-thilnis-sons-wifemr-,4543
2,leunal,,,4544
3,atnal,,headby-mr-alethna,4544
7,tnal,,shaftfor-mr-titemrsnalunis,4544
2,thur,,,4546
1,arthslathruni,,mr-arnthmrs-slathrunis,4547
2,vetis,,,4547
3,ziraple,,mr-ziraple,4548
1S,tarchissalvi,(m)i,,4551
2S,thanaitherini,thanvi(alisa) therini(alisasa),,4551
1,arnthni,,ms-arnthni,4553
2,puplnal,pupln(i)al,,4553
2,aitnepethi,,,4554
7,,flezr(eial),,4562
1,lvrmit,,,4563
1,fasthi,,ms-fasthi,4564
1A,favstio,favstio,for-the-throat,4565
2A,cr,,chalk-medicine,4565
2B,co,,,4565
1B,cint,,bon-cintcum,4567
3B,,c(vm) v(ngvento),,4567
1A,pi,pi(x),pitch,4569
1B,st,,,4569
2A,svtvs,svtvs,sutures,4569
3A,cr,,chalk,4569
2A,an,,for-throat-angina,4570
2A,etron,,,4572
2B,rinvs,,,4572
1,,uisc(ial),,4591
1,lafsathuileutlfethisisc,,,4592
1,,lethiu fiu(sa),,4594
1,liepiastha,,,4595
1,savniaave--------v----pepivi,,,4598
1,sefl,,,4602
2,,celiu(s),mr-seflatna,4602
1,ftlaeinukaelesicril,,,4608
2,,pulzia(s),mr-pulzias,4609
3,cnei,,,4609
1,----iputinakrul----,larthi putina(s) kru(ia)l{----},,4610
2,,cuinui(alisa),mr-larismrs-apismrscuinuis-daughters-husband,4613
1,,mi calisnas larth(i)al,ithe-urnof-mr-calisnamrs-larthis,4618
2,sepusla---------------------l,,mrs-muthurinis,4619
1,larthitre,larthi,ms-larthi,4621
3,,thremsini,,4622
1,larntisecu,,,4627
1,,c(aii),,4630
1,,crispinia,mrs-crispiniafirmamr-,4632
1,,arnthur anain(i)al,,4636
1,,larthi,,4640
1,,a(ulial),,4643
1,,pumpui(al),,4646
1,,sethrni(al),,4649
1,,sethrni(alisa) auinial,,4650
1,,sethrni(alisa),,4651
2,offertia,,,4656
4,----------------al,,,4662
1,arntveline,,mr-arntveline,4663
2,,arnth(i)alisa,mrs-arnthis-sons-wife,4664
2,vechchal,,,4667
1A,inlchmesi,,forthe-king,4668
2,fapisne,fapisne(s),fapisna,4668
2A,fapisnv,,mr-fapisna,4668
4,ne,,nephew,4668
3,paethinia,paethinia,,4669
1,inia,paethinia,paethinia,4670
1,,seiante trepu(s),,4671
1,,latithe(s) arnth(i)al,,4675
2,----risal,,,4677
2,thal,a(rn)th(i)al,mrs-arnthis,4678
1,thanaatai,,mr-thanamrs-ataisdaughters-husband,4680
2,neivesa,,mr-neives-daughters-husband,4680
3,canei,,,4680
3,ni,,mrs-velinis,4681
2,velathriz,velathri(e)z,,4684
2,arnthal,,,4686
1,,a(rn)th,mr-arnth,4689
1,larce,larce(s),mr-larces,4690
2,,larci(al),,4691
2,pupual,pupu(i)al,,4695
1,,v(el),mr-vel,4696
2,vipinei,,mrs-vipineis,4699
1,thafa,,mr-thanamr-fasties,4701
2,,v(el)i(al),,4701
1,aninal,anin(i)al,mrs-aninis,4702
2,teta,,,4705
1,larthti,,,4712
1,thania,,mr-thania,4717
3,sulunia,,,4717
2,ferene,,,4720
3,thansinal,,,4722
1,,lautn(i),our-slavegirl,4725
3B,ap,,,4727
1,pesnei,,,4734
1,--izl,tiz(ia)l,,4739
2,--itenurziu,,mr-titenurizu,4739
1,ramtha,,mr-ramtha,4742
3,nitha,,,4742
2,vezanas,vezana{}s,,4744
2,ath,,,4746
1,sethrepazini,,,4755
2,fuluni,fuluni(alisa),,4760
2,--elesia,,,4761
1,,l(ar)th cultanei(al) tetinasa,,4763
1,,c(a(i)i) avfid(i)i c(a(i)i),of-mr-caiusaufidiusmr-caiussson,4769
2,harisp------,,examiner-of-entrails,4769
1,,c(aii) l(ibertvs),,4772
2,plintha,,mr-caiusvettiusplinthamrcaiussfreedman,4772
2,philemativ,philemativ,mrs-satelliaphilematiumrcaiussfreedgirl,4773
4,plinthae,plinthae,,4773
3,philemativ,philemativ,philematiu,4774
4,plinthai,plinthai,of-plintha,4774
2,pamphil,,mr-caiuspapiriuspamphilus,4780
1,sarronia,,ms-sarronia,4784
1,cavia,cavia,,4785
2,larthal,,mrs-larthis-daughters-husband,4787
2,asqaq,,,4788
1,larthaclnis,,,4789
1,,thanicu,mr-thanicu,4790
1,evantra,evantra,mr-evantra,4792
2,lt,l(a(u))t(nitha),,4792
1,evantralt,,,4793
2,feli,feli(al),mrs-felis,4795
3,alfnisa,alfni(e)sa,,4795
3,felial,,,4796
2,purnei,purnei(al),mrs-purneis,4797
2,petrui,petrui(al),mrs-petruis,4798
1,arnthlatin,,mr-arnthlatinie,4800
1,amnei,,,4802
1,,v(e)l(ia) velsi(al),,4804
2,trepinal,,,4809
2,carpna,,,4810
3,tesa,,,4810
2,cucu,,,4811
3,ma,,,4811
1,larthi,larthi,ms-larthi,4813
2,pruciu,pruciu(s),,4813
2,ainal,,,4814
2,stenia,,,4815
2,ariodantes in ariodantes,,,4816
2,vipinal,vipin(i)al,,4825
2,campes,campes,,4827
1,lartathucerusatnal,,mr-lartmr-aulethucerus,4828
1,arnthpetru,,mr-arnthpetru,4838
2,laramni,,,4839
2,etania,,scetania,4842
1,,petrui satn(i)al,,4848
1,,a(rn)th felusn(i)al,,4850
1,,thani,mrs-thanimr-aulesdaughtermrs-varneis-sons-wifemrs-,4851
1A,,meinei(al),mr-thanamrs-meineismrs-varnis-daughters-husband,4852
1,,larthi puia,mrs-larthimrs-carneis,4854
1,,thani patislani(alisa),mrs-thanimr-aulesdaughtermrs-patislanis-sons-wifemrsveluisdaughter,4856
1,auletretra,,,4860
1,,thania larci(al),,4862
1,,larc(e) fravni(e)sa,,4864
3,lisa,,mrs-fulnis-daughters-husband,4866
2,lautn----a,lautnitha,,4870
1,vercnei,vercnei,mrs-vercnei,4878
1,,thani latinial fanus(ia)lisa,mrs-thanimr-auletitie-sonswifemrs-latinisdaughtermrsfanusis-sons-wife,4882
2,rumathes,,,4883
2,letaria,,letaria,4885
4,rumates,,,4885
1,vlarce,,mr-velialarce,4886
1,thasep,,mr-thana,4888
2,rsnei,,,4888
1,--a------a----purnal,,,4889
1,,vetuni(al),,4901
1,,thania fustanei(al) saliesa,,4902
2,petrnas,,,4906
1,tutnasa,,,4912
1,arthi,,ms-arnthi,4913
2,urinati,,,4913
1,,calisn(i)al,,4915
1A,,v(e)risn(a)s(a),bmrs-aulimr-verisnas-sons-,4917
1B,,s(a)nsiusa,mr-sansiuss-sons-wife,4917
1,milarthurustarchvetenas,,,4922
1,mi--amarce--ra--atieln--,,,4925
1,,nemu,,4930
1,,mi larthiza(s),,4945
1,miaranthiaramaitelas,,,4946
1,miaranthiathanursie----,mi,imr-aranthiathanursies,4947
1,mipumpusthurmepnas,,,4948
1,zaures,,,4957
1,tsthiii,,,4963
1,,mi fulchenas velthuruscles,imr-larthiafulchenasmr-velthursons,4966
1,mivelturusskanesnas,mi,ifor-mr-velturskanesna,4970
2,turusiskanesnasi,,,4970
1,--------eln--------,,,4974
1B,,{raiths},,4982
1,mispuriesatecenas,,imr-spurieatecenas,4983
1,li,(suthi),,4983
2,,z(ilachunthus) t(enie),,4983
1,milaricestelathurassuthi,,,4986
1,milarthiasrupinas,,,4990
1,mivelthurusmuielnas,,,4992
1,casne,,,4995
1,milar,,,4997
3,asuthienas,,,4997
1C,s(uthi),,,4998
1,mivelthurusfulchenaskae--,,,5004
1,pitheslentenas,,,5007
1,mimamarcesvetusal,,,5010
1,----------------------thui,,,5014
2,velthura,velthura,,5018
2,vinucenas,,,5021
1,mikalairuftius,,,5022
1,mienasmarceslesnaisena,,,5026
1,------nisc------,,,5036
1,suthi,suthi,,5037
2,milareceszuchusmutus,,imr-larecezuchusmrmutus,5037
1,aveiesthi,,,5038
1A,mivenelissanchun----,,imr-veneliesmrsanchunas,5045
1,milarthiatef--------,,imr-larthiatefunas,5052
2,----vthu,,,5052
1,,ma(rces) fermenas,,5053
1,aranthiatefu,,,5054
1A,--------thinlnu--,,bimr-larththinlnusmr-,5057
1,,mi larthas,,5060
1,,felza(s),,5064
1,--------asal--------,mi pesnas(i)al,,5067
1,,caicnas,,5071
1,,prumath(e),great-grandson,5089
1,fersipnai,,,5091
3,lupuce,lupuce,,5092
3,,clevsinsl rumitrine,,5093
3,l--------------------------amce,,,5094
1,krankru,,,5095
1,kurpu,,,5096
1,,thuva,of-mr-velthur,5097
7,,suplu,------en----and-asilincensemr-suplu,5097
1,,eitva,one-of-his-fates,5100
3,lesn----,lesna,,5100
1,presnthe,,,5102
2,rcnas,,,5107
2,,leinies,leinies,5112
3,zil--------,zilathus,,5112
1,,ar(n)thaes,,5116
2,ansina,ansina(s),,5117
1,panusu,,mr-panusu,5136
1,,iculnei(al),,5146
1,------usarnthialacl------,,,5148
1D,uiesaru,l(ar)thiesas,cbathe-lawfulof-,5152
1E,,euach(i)al,,5152
3,,larthial,mrs-larthis,5160
3,----uafip----,,----uamr-fip----,5162
3,ecnceachv--,,andthesesacred-collectedremains,5166
1,,ranthu murinasa,,5170
1,petrualethn,,mr-petru,5177
1A,thuluter,,the-thulute-best-gods,5180
1,,v(el)ch(es) aprthnas v(el)ch(es),,5187
1,,v(eluz) celez v(elial),mr-velcelesmrs-velis,5189
1,numesiaceles,,mr-numesiamr-celes,5191
1,,c(a)v(ia)l,mrs-cavis,5195
2,------letn------,azaletnia,mr-fastias,5197
3,------rthu------,llarthusa,mrs-aletnismr-larthsdaughters-husbands,5197
4,------atru------,matruialisa,,5197
2,ia,ial,seprsias,5202
1,,cemtiui(al) caprunas,,5204
01,,velsu l(ar)th(us),mr-sethvelsumr-larthssonmr-larthvelsuanyof-thegoods-and-chattels,5211
03,,velsu l(ar)th(us),mr-larthssonmr-larisvelsumr-larthssonmr-arnthsuplu,5211
10,,setria(s),,5211
1,euslfufnithui,e(cnatn)u,,5214
1,----rsia----,,,5217
3T,votrvbia s,,votrvbias,5218
2,nesna,nesna,,5220
2,ecasuthilathi,,seethe-tomb,5221
3,alcilnia,,,5221
1,ecasuthilarthal,,seethe-tombof-mrs-larthi,5225
2,lartha--,,mrs-larthis,5226
1,,ca(ia)l,,5229
1,cetsevelcneui,,,5230
1,,tv(s)c(o),,5232
2,cecnas,,,5234
2,satnea,satnea,,5235
2,setra,,,5236
1A,,tuthiu chimthm casth(n)ialth lacth,at-the-sun-god-cathas-assembly,5237
4B,fuvithun,,,5237
5B,lursthsal,,,5237
1,eca suthi masnial,,,5239
3,,latherialch,of-the-town-of-latheri,5243
4,nthus,,mr-raventhus-sons-wife,5243
1,,sethras(a),seethe-tombof-mr-zalnape,5244
2,sethras,sethras,mr-sethra--,5244
1,casntra,,,5249
1,marthucle,,,5254
1,vulunice,,,5255
1,achmenrun,,,5256
1,,vanth,,5258
1,truials,truial(u)s,,5260
2,us,,,5262
1,cailevipina,,mr-caile,5266
1,macstrna,,,5267
1,pesna,,,5270
1,rasce,,,5271
2,tarchunies,,mr-tarchunies,5275
1,sisfe,,,5280
1,amfare,,,5281
1,murasa,,mr-muras-daughters-husband,5287
1A,,la(utnithas),mr-tarnasmrs-larthisslavesmr-velsslaves,5298
1,misuthiavlesi--,,,5303
1,milarusvlartialitunumtaschu,,,5306
1,,arnth(us) larth(i)al,,5309
1,,an arnthe(i)al(e)s tetni(e)s,hewas-containedby-of-a-son-of-a-mother-mrsarntheimr-tetniesand--by--mr-ramthesmrs-visnais,5313
1B,thanchviltarnai,,mrs-thanchvilmrs-tarnais,5314
1,,arnth(i)al(i)s(e) lupu esal(e)s,mr-tute-larth--andhewas-containedby-mr-tuteby-mrs-arnthi--deadof-yearsof-twoofeighty,5315
2,,fathlial(u)s ravnthu(s) thunz,,5315
1,thanicu,,,5319
1,cutnealthn,cutne(i)al,ms-cutneis,5323
2,----tnpumpu----,,slavegirlmr-pumpus,5324
1,----as----,thanias{----},mr-thania,5325
2,----pinie----,,,5325
1D,thumlana,,,5327
1E,------cila,,,5327
1F,------laka--------,,,5327
4B,------athesunamulthame,,,5327
1,fersu,,,5328
1,latithe,,,5329
1,tevarath,,,5331
1,tanasar,,,5334
1,punpu,,,5338
1,tetiie,,,5339
1,aefla,,,5345
1,velthur,,,5346
1,ch------,charu,,5356
1B,,ravnthu,mr-ravnthu,5360
2B,,thefrinai(al),mrs-thefrinais,5360
2,--------------------------------------------------eu--a-----c-----n------,,,5362
5,,ci matvesi,threealtarsdedicatingto-thegod-matveand-to-the-god-calushould-begrantedmr-cae,5362
1,cuclu,,oneofthecyclops,5363
2,uthuste,,,5363
1,fersipnei,,,5365
1,cerun,,,5366
1,eivase,,,5367
1,finthial,,ghost,5368
2,teriasals,teriasal(se)s,,5368
1,thanirv,,,5377
3,thaniav,,mr-thania,5377
1,,arnth(i)al larthial vipen(i)al,mr-ravnthsmrsfelcismrfelcesmrs-arnthismrs-larthismrs-vipenis,5378
2,seitithi,,,5380
1,vepi------------velcha,a(rn)th(us),mr-vepiamr-arnthvelchasor,5382
1,velthur,,mr-velthur,5383
2,velcha,,,5383
2,,-----------------------------------------------velthurus larcai(al),-----------------------------------------------mr-velthurssonmrslarcaisson,5385
5,,----u canirachathcesnieltha,----usacred-hymnistsercefasmantcanirachathcesnielthas--u--etheaich----icu,5385
6,,acrialsm --arnasapa,camsacred-hymns-singingofaes-grave-ingots-one-poundin-weightacrialsmarusiasthesei----ce----thal--,5385
8,,zilc fulchuniesi{----},,5385
2,seitith--,seitithas,,5387
3,larthialisla,,,5389
1,ravnthu,,mr-ravnthus,5392
2,aprthnai,aprthnai,,5392
2,velusla,,,5394
1,aninai,,,5396
2,velthurus,velthurus,mr-velthurs,5400
4,velusla,,mr-velsslavegirl,5400
3,velusa,velusa,mr-vels-daughters-husband,5401
4,aninaic,aninai(al)c,,5401
3,velthurusa,velthurusa,mr-velthurs-sons-wife,5402
2,l--rthial--sa,larthialisa,mrs-larthis-daughters-husband,5404
6,,matani,alsothe-flenznate---------------ce------------ms-mataniasbeforein-september--------,5407
8,,chu----------al clen(u)s,of-ms-arnthimr-larthisgrandchildchu----------almrramathassons,5407
9,scuna,scuna,,5407
3,cechase,cechase,,5408
2,cechase,,,5409
2,clant----,,clante,5410
3,zilath,zilath,our-headman,5410
1,,tercenna,,5413
1,thanachvel,,,5417
1,eizenes,eizenes,mr-eizenes,5419
3,,velus(a),mr-vels-daughters-husband,5419
