,ID,City,Year - From,Year - To,Etruscan,Translation,key
58,144,,,,thafaalki,ms-thafaalki,1A
59,144,,,,lathunikai,lathunikai,2A
60,147,,,,tsv,inspectors-of-entrailslie-here,1A
62,147,,,,atetzc,mr-larthurinatemr-titesheadman,3B
69,173,,,,laucha,,2
70,174,,,,thui,here,1
71,175,,,,larthnusununa,mr-larthnusununa,1
72,175,,,,nalisa,,3
73,176,,,,milalausa,,1
74,176,,,,miakas,i--by-mr-larislausa--,2
75,176,,,,ca----s----ipneicice,,3
76,178,,,,caias,,2
77,179,,,,arntvetearntha,mr-arntvete,1
78,181,,,,larthvetearn,mr-larthvete,1
79,181,,,,thalisathuilar,mrs-arnthis-daughtershusband,2
80,181,,,,thveteline,mr-larth,3
81,188,,,,vetela,,2
82,191,,,,rthveteline,,2
85,195,,,,lathlapeirulilmulune,,3
87,197,,,,thanautaunei,mrs-thaniautaunei,1
88,198,,,,larthiasrutznei,of-mr-larthiamrs-rutznei,2
90,206,,,,larthalisa,mrs-larthis-daughters-husband,2
91,206,,,,raufe,,3
92,207,,,,venatnal,,2
93,208,,,,arntaneini,mr-arntmrs-aneinisdaughters-husband,1
94,208,,,,prumathnal,,2
95,209,,,,prumathnal,,2
98,214,,,,vezaceinazesialissa,,1
99,216,,,,manalcu,,2
100,216,,,,lce,,3
101,218,,,,aulnal,mrs-aulnis,1
102,218,,,,nuvpllni,,2
103,221,,,,larthi velnei(al),,1
104,222,,,,pilnpac,,2
107,232,,,,iacvenle,mr-lariscvenle,1A
108,232,,,,mthinal,,1B
109,232,,,,mthinal,mrs-mathinis,2B
110,233,,,,methna,,1B
112,245,,,,anainal,,1B
113,247,,,,mulnanes,,2
114,249,,,,larthtite,mr-larthtite,1
115,250,,,,lumscial,,2
117,252,,,,anthualtesnasa,mrs-arnthuismr-tesnasdaughters-husband,2
119,252,,,,pesnasa,,4
120,254,,,,elisnal,mrs-velisnis,1
121,255,,,,raufesa,,3
122,257,,,,ateinalisa,,2
123,258,,,,fzne,,1
124,259,,,,petrnis,,2
125,260,,,,afvuies,mr-afvuies,2
127,264,,,,sthnuvlthathsa,,1
128,265,,,,amthnial,,2
131,269,,,,vuisinal,,2
132,270,,,,arthal,mrs-arnthi,3
133,271,,,,--lecne,mr-aulelecne,1
134,271,,,,--uisina,,2
136,272,,,,fapirnal,,3
137,275,,,,lecnesa,,2
138,276,,,,sesctnal,,2
139,277,,,,cnesa,mr-lecnes-daughters-husband,2
140,278,,,,tevatnal,mrs-tevatnis,2
141,278,,,,lecnesa,,3
147,299,,,,msatruesurcunusa,,1
148,300,,,,--ilarisafpuaskrpnasamm,,1
149,303,,,,vnat,ofmr-velnata,1
150,304,,,,menamecanacliviniatrecteveluslarthu,,1
151,307,,,,thnal,,2
152,308,,,,seinal,,2
154,312,,,,mifupninalarth,ithe-burial-boxof-mr-larth,1
155,313,,,,arnthal,mrs-arnthis,2
156,314,,,,scurfiu,,2
157,315,,,,afur,mr-afuries,2B
158,318,,,,alfnal,mrs-alfnis-daughters-husband,2
159,326,,,,titisec,mrs-titis,2
160,326,,,,us,mr-secus,3
161,328,,,,natial,,2
163,339,,,,sa,mr-seurus-sons-wife,4
164,344,,,,-------rnal,mr-larthmrs-purnis,1
165,346,,,,arntles,,2
166,347,,,,alufnei,mrs-alufneis-daughtershusband,2A
167,350,,,,atainei,,1
168,352,,,,ecnatne,mr-ecnatne,1
169,354,,,,fulni,mrs-fulnis-daughters-husband,2
170,357,,,,--rnpv,mr-crespe,1
172,363,,,,thalisa,,2
173,366,,,,athnui(al),,2
174,368,,,,caznei,ms-little-canei,1A
175,370,,,,avlekavinisech,,2
176,371,,,,tins,the-god-tinias,1
177,373,,,,kamsa,mr-kames-daughters-husband,1
178,373,,,,kapusa,,2
181,380,,,,miklaninsl,,1
182,384,,,,rni,mr-larthmr-steprnies,2
183,384,,,,authnal,,3
184,385,,,,lethial,,2
185,386,,,,caurias,,2
186,387,,,,------arisfalasasnasma,,1
187,388,,,,thukerakiltusthuvep,,1
188,391,,,,----------cvas,,1
189,392,,,,vestrnalisa,,2
190,393,,,,arnthvelchatini,mr-arnthmrs-velchatinis,1
191,393,,,,vestrnaisa,,2
192,394,,,,arnthvelcha--------,mr-arnthvelchatinis,1
193,394,,,,vestrn----------,,2
194,395,,,,vestrnalsa,,2
195,396,,,,nal,,2
196,400,,,,thanuchvilus,,1
198,405,,,,--rauchni,ms-frauchni,1
199,405,,,,vethurus,,2
201,408,,,,nchvilkilneivelasna,,1A
202,408,,,,velfeimnitutiaklantha,,1B
203,408,,,,lsech,,2A
204,409,,,,lartfe----,mr-lart,1
205,409,,,,nikilna,feimnie,2
206,409,,,,klan,,3
207,410,,,,lartfeimniviske,mr-lartmrs-feimnismr-viskes,1
208,410,,,,tutnai,,2
209,411,,,,velfemni,mr-velmrs-femnis,1
210,411,,,,viskesa,,2
212,414,,,,sucnei,,3
214,419,,,,veliafapuri,mr-veliamrs-fapurisdaughters-husband,1
215,419,,,,arnthal,,2
216,422,,,,rnal,,3
217,423,,,,mi,,1
218,423,,,,semusathnis,,3
219,424,,,,nerina,,2
221,428,,,,ciarthialisa,mrs-ciarthis-daughtershusband,2
222,429,,,,talce,mr-talces,1B
225,432,,,,larthititlnei,mrs-larthititlnei,1
226,432,,,,ciarthisa,,2
227,433,,,,inei,mr-larttulemrs-tavineis,2
228,434,,,,masmumus,,1
229,435,,,,zichu,the-scribe,1
230,435,,,,mesin,,2
231,438,,,,turce,donated,4
232,439,,,,tular,boundaries,1
233,439,,,,tular,boundaries,1A
234,439,,,,rasnal,of-the-etruscan-people,2
235,439,,,,rasnal,of-the-etruscan-people,2A
236,439,,,,rasnal,,2B
237,439,,,,--ular,boundaries,3
238,439,,,,----snal,of-the-etruscan-people,4
239,443,,,,salthn,,3
240,443,,,,salthn,,6
241,444,,,,sturuathi,mr-pumpusmrs-turuis,2
242,444,,,,alisa,mrs-arnthis-daughters-,3
244,447,,,,sl,this-dedicatory-statueto-the-,2
245,450,,,,fastia cnevial,,1
246,452,,,,aulelatitheaule--s,,1
247,454,,,,venezatipe,,1
248,457,,,,aviiisiiivs,,1
252,463,,,,anisallaetchu,mrs-anisismr-larissmr-etchus-daughtershusband,1
253,467,,,,larticais,ms-lartimr-caies,1
254,467,,,,thui,here,2
255,468,,,,cipinal,,2
256,469,,,,latn,the-slave,1
257,471,,,,curtxn,,2B
258,474,,,,vurses,the-fire,2
259,474,,,,seflanl,of-the-goddess-vulcana,3
260,474,,,,tefral,the-goddess-tefris,4
261,474,,,,apetersnu,fathersdo-fulfill,5
262,474,,,,pisestestu,,6
265,484,,,,zarthiasepialupuval,,1
266,488,,,,la--------ch----eich----re----a,,1
268,490,,,,sa,,2
270,493,,,,thanavuisinei,mr-thanamrs-vuisineis,1
271,496,,,,larthal,,2
272,497,,,,ancarias,,2
273,498,,,,enatia,,2
274,499,,,,ru,,2
275,501,,,,puplu----ta------,,1
277,504,,,,thermfi,mrs-thermfis,3
278,509,,,,velcaias,,2
280,517,,,,as,,2
281,525,,,,thurnei,,2
283,531,,,,etrual,,2
285,539,,,,vesacnei,mrs-vesacneis,2
286,539,,,,fetarias,,3
287,546,,,,velunu,,2
289,548,,,,melchral,,3
292,555,,,,chumtus,,2
293,556,,,,apapaulithalth,our-fathermr-pupliemrsaulismr-thanas,1
294,558,,,,--eletharitetin----,,1C
295,563,,,,ravfia,,2
296,568,,,,larthi,mrs-larthi,1
297,568,,,,larsti,mrs-larstis,2
298,568,,,,anesa,mr-anes-sons-wife,3
299,569,,,,vezra,mr-vezras,2
301,572,,,,fetharia,fetharia,2
302,572,,,,serturna,,3
303,578,,,,pelnati,,2
304,579,,,,statinei,mrs-statineis-daughtershusband,1A
305,579,,,,statinei,,1B
306,579,,,,alisa,,2B
309,585,,,,sapicnal,,2
311,588,,,,fuluni----------i,,2
312,592,,,,lutnitha,,2
313,594,,,,larthalisa,,2
315,598,,,,arnthane,mr-arnthane,1
316,599,,,,larthaci,mr-larthmrs-acis,1
317,599,,,,lartha,,2
318,604,,,,cusine,,1
321,609,,,,vipinei,,2
322,614,,,,larth(i)alisa,,2
323,628,,,,arsme,ms-arsme,1
325,633,,,,leichunia,mr-leichuniasdaughter,2
326,633,,,,lethial,mrs-lethis,3
328,636,,,,larthiavipi,mr-larthia,1
329,636,,,,neicapznal,mrs-vipineis-daughtershusband,2
331,639,,,,pethnal,,2
335,657,,,,ancarna,,2
338,665,,,,thaznthnal,,2
339,666,,,,vipina,,2
340,668,,,,vipin(i)al,,2
341,672,,,,venzazemni,mr-little-venelmrs-zemnis,1
342,672,,,,titialisa,,2
343,679,,,,----------monis,mr-lucumos,2
346,685,,,,thal,,3
348,686,,,,anfares,mr-anfares,1B
349,690,,,,larthal,,2
355,707,,,,cesu,,1B
361,728,,,,maxsimi,mr-maxsimuss,2
362,728,,,,a----vxsor,,3
363,729,,,,------etisvasa,mrs-anniaetisvasa,2
364,731,,,,vlap,mr-veliaapice,1
368,733,,,,salinal,,2
371,736,,,,arrip,,2
372,742,,,,peciania,mr-pecianias-sons-wife,2B
373,742,,,,p--c----na,mr-pecianias-sons-wife,3A
374,745,,,,varnali(e)s,mr-varnaliesslave,1
375,745,,,,n---lila,,2
377,747,,,,nsm,,1B
378,751,,,,lart,mr-lart,1
380,757,,,,puia,,2
381,763,,,,vuisinieista,,1
382,764,,,,ramtha,mr-ramtha,1
383,766,,,,larthferina,mr-larthferina,1
384,772,,,,cecu,,2
387,774,,,,reuthnal,,3
388,776,,,,balls,mr-aulusmarcius,2
389,777,,,,perstiesa,,2
390,779,,,,--rnthalisa,,2
391,780,,,,raufias,,2
392,781,,,,numsina,,3
393,782,,,,raufial,,2
394,783,,,,----rthi,ms-larthi,1
395,783,,,,ancarnei,mrs-ancarneis,2
397,784,,,,feusinal,raufemrs-usinis,2
398,786,,,,harispex,inspector-of-entrails,2
402,803,,,,tetinalisa,,2
404,805,,,,vltetinacuutanal,,1
406,808,,,,presnts,presente,2A
407,810,,,,tnal,,2
408,811,,,,anetnal,,2
409,819,,,,danatidi,ms-thanimr-tithiasdaughter,1
410,822,,,,stephiani,,2
411,824,,,,cavslinis,,2
413,827,,,,------utasa,,1
415,832,,,,artabassa,mrs-artabassa,1
417,834,,,,anicona,ms-anicona,1
418,834,,,,paperis,,3
421,848,,,,vensa,,1
422,848,,,,cartlia,,2
424,859,,,,faltunet--,mr-faltunetes,2
425,859,,,,nunial,,3
426,860,,,,faltunei,mrs-faltuneis,2
427,860,,,,nunial,,3
429,862,,,,thuceri,mrs-thuceris,2
430,862,,,,capatine,mr-capatines,3
431,863,,,,--------uricia,,1
432,866,,,,larthias,,3
436,870,,,,serturus,,3
439,875,,,,------tilla,ms-little-quarta,1
440,880,,,,aipraupz,ms-aulimr-praupes,1
441,882,,,,------------spuiia,mr-etruscaswife,1
444,893,,,,velferi,mr-vel,1
445,893,,,,nalartha,ferina,2
446,893,,,,lisa,,3
448,897,,,,aisias,mr-asias,3
450,912,,,,chumzn,,2
452,917,,,,vecnal,,2
453,919,,,,thanathansinei,mr-thanamrs-thansineis,1
454,923,,,,en--------,,2
455,925,,,,n--tnia,,2
456,928,,,,pacinnal,,2
457,930,,,,pacinal,,2
459,934,,,,cainia,,1
460,935,,,,cnevias,,2
462,940,,,,arnias,,2
464,943,,,,fastisuthaneitutnas,,1
465,944,,,,presntesa,,2
471,962,,,,vtrias,,1B
472,963,,,,nurziunia,,2
473,975,,,,znal,,1B
475,978,,,,pethnal,mrs-pethnis,2
476,978,,,,netsvis,,3
478,982,,,,bvcvli,mr-caiusofilliusbuculussmrcaiusssons,2
481,987,,,,gavialarthi,mr-gaviamrs-larthis,1
482,987,,,,barnaes,,2
484,996,,,,petinates,,2
485,998,,,,--en----e,,2
487,1003,,,,rinthunal,,2
489,1019,,,,citheris,,2
494,1029,,,,--------auchu----------s----a,,1
497,1038,,,,latinial,,2
498,1039,,,,tetinal,,2
500,1044,,,,------------------ncusa,,1
504,1047,,,,patacsnal,,1B
505,1047,,,,iclantivl,,2A
506,1049,,,,------merunias,mr-larismr-cumerunias,1
507,1051,,,,erina,,1
508,1052,,,,avthenna,mr-avlethenna,1
511,1056,,,,------niala,mr-ferniasslave,2
512,1056,,,,--------pli,,3
514,1068,,,,vetinal,,2
515,1071,,,,------velnthuru------,,1
516,1072,,,,sentifanunia,mrs-sentimr-fanunias,1
517,1072,,,,clantisa,,2
518,1073,,,,sentifanuniaclanti,mrs-sentimr-fanunias,1
519,1075,,,,tharemzn,mr-thana,1
520,1075,,,,eicezrt,mrs-remzneis,2
524,1082,,,,eres,mr-cumeres,2
525,1085,,,,al,mrs-fremrnis-daughtershusband,2
528,1091,,,,marcnei,mrs-marcnei,1
529,1091,,,,futiesa,,2
530,1097,,,,arnthi----,mrs-arnthis,2
532,1098,,,,------chma------,,1C
533,1098,,,,ifi,,1D
534,1106,,,,lanfesa,,2
535,1111,,,,lalas,,1
536,1111,,,,salint,,3
537,1113,,,,uratn,,2
538,1114,,,,furazni,ms-furazni,1
542,1124,,,,aulnis,aulnies,2
543,1124,,,,arnthi--lisa,mrs-arnthis-daughters-husband,3
545,1124,,,,prusathn,,5
547,1132,,,,arnthiclauniuivetina,,1
548,1133,,,,claniu,mr-claniu,1
549,1134,,,,------upulatha,mr-veliapupumr-larths,1A
550,1134,,,,vepupulatha,,1B
551,1135,,,,vlpumpula,,1
552,1136,,,,misuthilarthiala,,1A
553,1136,,,,rkien----,,2A
555,1145,,,,lartmaare,,1
556,1146,,,,arnunis,mr-arnunies,1
557,1147,,,,vaeliza,ms-little-vaeli,1
558,1153,,,,mvrrenia,ms-murrenia,1
559,1153,,,,veliza,,2
560,1154,,,,miaratiaialtamenei,imrs-aratiaismrstameneis-sons-wifes,1
561,1155,,,,anvai,of-mrs-anva,3
566,1167,,,,------risa,,3
569,1169,,,,aniusa,,2
570,1174,,,,sarthcethna--------------------a,,1
577,1189,,,,fraucnisa,mr-fraucnies-daughtershusband,2
582,1196,,,,anasa,,2
583,1200,,,,si--------,mr-sinu,1
584,1200,,,,sc--------,,2
585,1203,,,,septesa,,2
586,1205,,,,acilusa,,3
587,1206,,,,thastia,mr-thastia,1
592,1213,,,,velualpapa,,2
593,1214,,,,papaslisa,,2
596,1223,,,,an,son,1
598,1224,,,,tutnal,,2
603,1232,,,,larza,mr-little-larth,1
604,1232,,,,theprinal,mrs-theprinis,3
605,1233,,,,stial,,2
609,1238,,,,melutnei,mrs-melutneis-sons-wife,2
610,1238,,,,urinatesa,,3
611,1240,,,,cestna,,1
616,1264,,,,velfelearnthalisa,,1
617,1267,,,,felialisa,,2
621,1274,,,,teuci,,2
622,1276,,,,capiu,ms-capi,1
623,1276,,,,ranazu,,2
624,1276,,,,sautles,mr-autles,3
629,1290,,,,aufapilarthial,mr-aulemrs-fapis,1
630,1295,,,,hannossa,mr-caiussentiushannossamrcaiussson,3
632,1299,,,,fermnei,mrs-fermneis,2
633,1299,,,,tiusa,mr-tius-sons-wife,3
634,1299,,,,vetusal,,4
635,1301,,,,fermne,,2
636,1302,,,,tiuza,,1
638,1304,,,,tiuza,mr-little-tiu,1
639,1304,,,,thanas,son,2
640,1304,,,,tlesnal,of-mr-tiuof-mrs-vetusi,3
643,1310,,,,sepre,,2
645,1316,,,,causlinisa,,2
646,1319,,,,ariodantes in,,2
650,1329,,,,ferinial,,2
651,1339,,,,velthurias,,2
652,1341,,,,farpitia,,2
661,1365,,,,peithial,,2
662,1370,,,,cr,,1B
671,1404,,,,pumpnasa,mr-pumpnas-daughtershusband,2
673,1421,,,,ntiathun,sentia,2
674,1421,,,,snasacumvru,mr-rathumsnas-daughtershusband,4
677,1422,,,,nasa,,1C
678,1423,,,,arnth cumeresa,,1
680,1428,,,,pulfn(i)al,,1
683,1433,,,,clepatras,clepatras,2
684,1434,,,,clepatra,mr-clepatra,1
686,1440,,,,volchagi,,1
687,1445,,,,prcesa,,2
691,1455,,,,purnei,mrs-purnei,1
692,1455,,,,anicisa,,2
693,1457,,,,--naapiavelu,,1
695,1458,,,,curspen,,2
703,1469,,,,arntnal,,3
705,1474,,,,lacepeni,,1
707,1479,,,,epnal,mrs-cenepnis,3
708,1480,,,,al,mrs-anainis,3
709,1484,,,,falsnesa,,2
710,1486,,,,thnsl,,2
711,1487,,,,ferclite,,3
712,1489,,,,unias,,2
713,1495,,,,auntnal,,2
715,1501,,,,larthi,ms-larthi,1
725,1532,,,,veliza,mr-little-vel,1
726,1532,,,,celmnei,,2
727,1536,,,,eelche,velche,2
730,1542,,,,--uc----------,,2
731,1546,,,,elurnierikei,of-the-royal-familyand-thefeeding-of-the-burial-urnceremonies-also,2
732,1546,,,,matan,fortheir-afterlife,3
733,1552,,,,s--alpan,saplthnagave,2
734,1552,,,,velmaputh,mr-velmr-marces,3
735,1552,,,,nturkesel,youdonatedto-the-goddess-,4
736,1555,,,,vaninal,,2
739,1566,,,,ufalias,,2
740,1568,,,,ufalesa,,3
741,1569,,,,tru,his-own--mr-rive--relatives-daughters-husband,1
742,1569,,,,atrs,relatives,3
743,1569,,,,ativu,grandfather,4
744,1569,,,,sacni,,5
745,1573,,,,thanu--a,mrs-thanusa,1
747,1576,,,,vetnal,,2
748,1579,,,,tanvsa,ms-tanusa,1
749,1579,,,,mvnatia,munatia,2
750,1580,,,,ancarialisa,,2
752,1586,,,,tanvsa,mrs-tanusa,3
753,1586,,,,axina,axina,4
754,1587,,,,hernnia,ms-herennia,1
755,1588,,,,murinei,,2
756,1589,,,,murinasa,,2
757,1592,,,,hsanie,mr-hastiesanie,1
758,1592,,,,nvms,mr-numeriussslave,2
759,1594,,,,va----a,of-mrs-varia,2
760,1599,,,,ath,,2
763,1607,,,,----ni----------,mr-thaniamr-aules,1
765,1609,,,,arntnisa,,1
772,1620,,,,thachuviineii,,1
773,1624,,,,pevzththkii,mr-petrumr-velsmrsthanismrs-thankvils-,2
775,1625,,,,ninvsi,,2
776,1626,,,,vioesia,of-mrs-voesia,2
779,1629,,,,lth----------,,2
785,1641,,,,svenias,,2
787,1647,,,,archit,,3
788,1649,,,,nunias,mr-nunias,2
789,1649,,,,clute,,3
793,1658,,,,athnu,,2
795,1668,,,,velcialua,,2
797,1671,,,,cainal,mrs-cainis-daughters-husband,2
798,1674,,,,alfiae,,1
799,1675,,,,achlesa,,2
800,1683,,,,inei,,2
801,1688,,,,anainai,of-ms-anaina,1
803,1695,,,,fania,mr-fania,1
805,1702,,,,larcanal,,2
807,1708,,,,ial,,2
811,1718,,,,iafercle,mr-velusiasmr-ferclesdaughters-husband,1
813,1727,,,,ltaiial,,3
814,1730,,,,navie,,3
815,1731,,,,vael,,3
816,1736,,,,arnthalisa,mrs-arnthis-sons-wife,2
819,1744,,,,auriasa,,2
821,1750,,,,arntlei,,1
826,1771,,,,velthial,,2
827,1776,,,,philematio,,2
828,1777,,,,saeinal,,2
829,1780,,,,restumnal,,3
830,1781,,,,atainei,,1
832,1789,,,,neiatina,mrs-pumpneis,2
833,1791,,,,larthauclina,mr-larthauclina,1
834,1791,,,,cesuthui,,2
835,1795,,,,us,mr-little-arnth,3
836,1795,,,,arntiu,fraunies-daughters-husband,4
837,1795,,,,fraunis,the-nameless-slavegirlsdaughters-husband,5
838,1796,,,,auln,,1
839,1796,,,,ipenal,ms-aulni,2
840,1799,,,,tni,,2
841,1802,,,,vetanal,,2
842,1806,,,,ariodantes in (succursale),,1
845,1815,,,,fastiaafuneitiscusnisa,,1
846,1816,,,,afunei(al) cupsnasa,,1
851,1847,,,,arnthcaelar------,,1
853,1857,,,,lcavilf,,1
857,1872,,,,fastiacainei----minasa,,1
862,1893,,,,cainiz,,3
863,1895,,,,pernisa,,2
865,1899,,,,petrusa,,3
868,1904,,,,pumpual,,3
869,1906,,,,carcu,,2
874,1915,,,,atainal,mrs-atainis-daughters-husband,2
875,1916,,,,arnthal,mrs-arnthis,2
879,1923,,,,pumpnei,mr-pumpneias-daughtershusband,2
880,1923,,,,tecumnal,,3
882,1927,,,,tial,mrs-mefanatis,3
885,1935,,,,larthcalisnivanina,,1
887,1937,,,,renthn,,4
888,1938,,,,repias--,,2
889,1939,,,,sinivelu,,1B
896,1947,,,,------zna,,3
897,1956,,,,laricarcnalathal,,1
899,1962,,,,lethias,,2
901,1964,,,,rpnati,mrs-carpnatis,2
902,1964,,,,venusa,,3
903,1965,,,,tial,,2
904,1967,,,,harispex,inspector-of-entrails,2
906,1971,,,,vipinal,,2
907,1975,,,,ceicnei,,1
908,1976,,,,athceina,mr-arnthceina,1
909,1976,,,,sapinias,,2
915,1999,,,,pi------,,3
917,2005,,,,ucumznal,,2
918,2006,,,,ucumzna,,2
919,2009,,,,apriliss,mr-aprilisslave,1A
920,2009,,,,ticlavdi,of-mr-tiberiusclaudius,1B
922,2014,,,,arntcr,mr-arnt,1
923,2014,,,,eiceanai,creice,2
924,2014,,,,nl,mrs-anainis,3
925,2016,,,,calpurn----,,2
926,2017,,,,velisa,mr-little-velia,1
927,2017,,,,creicia,creicia,2
928,2017,,,,anesa,,3
932,2038,,,,ceristli,mrs-ceristli,1
933,2038,,,,cumniesa,,2
935,2048,,,,athcupsnapucsin,mr-arnthcupsna,1
939,2057,,,,ceisinal,,2
940,2061,,,,cusinei(al) curvesa,,1
941,2062,,,,cusinei,mrs-cusinei,1
942,2062,,,,vprthsa,,2
943,2065,,,,veliza,mr-little-velia,1
944,2065,,,,cutnei,mrs-cutneis,2
945,2066,,,,tinusi,ms-tinusi,1
947,2068,,,,----liacutnallautnitha,mr-veliams-cutnisslave,1
948,2068,,,,----prnasa,,2
949,2069,,,,la--rth,mr-larth,1
951,2069,,,,sias,mr-vusias,4
954,2078,,,,pulfnasa,,1B
955,2081,,,,--------ia,,2
956,2082,,,,lethiusa,,2
957,2087,,,,veizi,ms-veizi,1
960,2095,,,,la----tni,,2
961,2096,,,,puliac,,4
962,2098,,,,velch,,2
965,2114,,,,rsi,,2
966,2115,,,,larthvethura,,1
967,2118,,,,velicu,,1
968,2120,,,,pethia,,2
969,2123,,,,thvsntia,,3
971,2135,,,,uiscesa,,1
973,2139,,,,velsisa,,2
975,2146,,,,feli,,1A
976,2148,,,,patislanial,,2
979,2151,,,,--ospita,ms-valeriahospita,3
982,2156,,,,pucsina,,2
983,2157,,,,lathrthipucsin,mrs-larthimrs-pucsineis,1
985,2175,,,,venzile,,2
986,2176,,,,resnasa,,2
987,2178,,,,tvnasa,,2
988,2179,,,,rthal,,3
989,2180,,,,vetinei,mrs-vetinei,1
990,2180,,,,felesa,,2
991,2181,,,,--------vetinei,,1
993,2182,,,,vibinal,,3
994,2183,,,,----snas----,,2
997,2197,,,,anasis,,2
999,2199,,,,xx,,2
1003,2219,,,,crasnisa,mr-crasnies-daughters-husband,2
1006,2228,,,,leichunia,mr-leichunias,2
1007,2241,,,,zarta,,1
1008,2246,,,,aulezuchu,mr-aulezuchu,1
1010,2251,,,,sveasla,mr-sveasslave,3
1012,2253,,,,tutna,mr-tutna,3
1014,2261,,,,ariodantes,,2
1018,2278,,,,velos,,2
1020,2285,,,,sithu,,1
1021,2286,,,,fufle,,2
1022,2294,,,,pelthvrinvpetrual,,1
1023,2296,,,,pelthvrinvpetrual,,1
1024,2297,,,,ferinisa,,2
1028,2303,,,,herennia estlacial,,1
1029,2304,,,,sethrnal,,2
1031,2311,,,,purnal,,2
1032,2313,,,,aufisucna,mr-aulefisucna,1
1033,2313,,,,--------nal,,2
1034,2314,,,,vulsisa,,2
1035,2316,,,,furas,,1
1036,2317,,,,fusunei,ms-fusunei,1A
1037,2317,,,,fulni,,1B
1041,2322,,,,thaana,mr-thana,1
1042,2322,,,,nitha,slave,3
1043,2322,,,,veinis,,4
1044,2324,,,,thansis,mr-thansies,2
1049,2336,,,,aulethuce,mr-aule,1
1050,2336,,,,rnavelu,thucerna,2
1051,2338,,,,arntiu,mr-arntiu,1
1052,2338,,,,thupites,,2
1053,2340,,,,turce,,3
1054,2341,,,,eicerasthufithi,to-the-goddessthufithi,1
1055,2342,,,,lanialisa,mrs-lanis-daughters-husband,1
1056,2342,,,,lanialisa,,2
1059,2356,,,,afuna,,2
1060,2360,,,,erantra,mr-erantra,1
1062,2374,,,,arathal,,1B
1064,2378,,,,puia,,4
1065,2381,,,,laucanias,mr-laucanias,2B
1068,2387,,,,uchums,,2
1069,2387,,,,snei,,3
1070,2389,,,,cupsnasa,,3
1073,2392,,,,laristp,,2
1075,2403,,,,canzate,,1
1076,2403,,,,selvansl,the-goddess-selvanss,2
1077,2406,,,,cecunias,,2
1079,2408,,,,vanes,,2
1080,2409,,,,leth,,2
1081,2410,,,,lethia,mr-lethia,1
1082,2410,,,,venzles,,2
1083,2411,,,,lethia,mr-lethia,1
1084,2411,,,,mathl,,2
1085,2412,,,,lefia,mr-lefia,1
1088,2415,,,,len,,1
1089,2415,,,,ui,,2
1091,2420,,,,manth vatnei tumusa,,1
1093,2422,,,,felz----,,2
1094,2423,,,,salin,,3
1095,2427,,,,ecna,ecna,2
1096,2429,,,,arnthalisa,,2
1097,2440,,,,marcnei,mrs-marcnei,1
1098,2440,,,,clantinei,mrs-clantineis-sons-wife,2
1099,2440,,,,csec,,4
1100,2445,,,,trepusa,mr-trepus-sons-wife,1
1101,2447,,,,marcnisa,,1A
1104,2450,,,,petrual,,2
1105,2452,,,,cevcias,,2
1108,2457,,,,ni,mr-thanamrs-maricanis,1
1109,2458,,,,arnth(i)al,mrs-arnthis,2
1110,2459,,,,ar,of-mr-arnth,4
1111,2462,,,,piutaal,,2
1112,2467,,,,metur,,1
1113,2469,,,,tusnu,,3
1114,2470,,,,larthi curthutes,,1
1115,2472,,,,cheritna,,2
1117,2485,,,,capnal,,2
1118,2486,,,,cnevnal,,2
1121,2492,,,,achual,,2
1122,2493,,,,nevia,,1
1123,2494,,,,caprinal,,2
1124,2496,,,,saprias,,2
1128,2504,,,,thanapa,mr-thana,1B
1129,2504,,,,paisle,amr-paislenes,2A
1130,2504,,,,islevi,,2B
1131,2504,,,,ne,,3A
1136,2516,,,,arpatislanefelznal,,1
1139,2524,,,,remznal,,2
1140,2527,,,,raplnis,mr-raplniesdaughter,2
1142,2539,,,,arrespex,,3
1144,2540,,,,arhs,,2
1145,2545,,,,thanapaesu,mr-thana,1
1146,2545,,,,msne,,2
1147,2550,,,,petinate,mr-petinates,2
1149,2566,,,,carnasa,,2
1150,2570,,,,petrui,mrs-petrui,1
1151,2576,,,,plancu,,2
1152,2577,,,,aulepetrplancure,,1
1153,2580,,,,puplina,mr-puplina,1
1154,2580,,,,lanzivs,,3
1155,2580,,,,nc,,4
1156,2586,,,,latinisa,,2
1157,2589,,,,nurziun,,3
1158,2590,,,,zinias,,2
1159,2592,,,,aprasnar,mr-auleprasnamr-ramthas,1
1160,2601,,,,----praesen--------,,1
1161,2603,,,,-------intha,,2
1162,2612,,,,--arthalisa,,2
1165,2619,,,,thanapul------,mr-thanapulfna,1
1166,2620,,,,pulfnei,mrs-pulfnei,1
1167,2620,,,,arntnaisa,,2
1168,2621,,,,pvlfennia,ms-pulfennia,1
1169,2622,,,,arntnal,,2
1170,2627,,,,arnthalitlepumpus,,2
1171,2635,,,,anainis,mr-anainies,3
1173,2643,,,,pupli,ms-pupli,1
1175,2648,,,,lartlauti,mr-lartthe-nameless-slavegirls,1
1176,2648,,,,purnas,,2
1177,2653,,,,sethre sethres(a),mr-sethremr-puscasmr-sethres-daughters-husband,1A
1178,2653,,,,sethre sethres(a),mr-sethremr-puscas,1B
1179,2655,,,,larthpusta,,1B
1180,2657,,,,--------th----ath----pustre,,1
1181,2658,,,,ntha,,2
1182,2659,,,,rav----a,mr-ravas,2
1183,2662,,,,zuia,ranazuia,3
